Number,Month,Day,Hour,Minute,Second,Easting (m),Northing (m),Depth (m),Magnitude Mw
4883,11,5,20,9,25,3109.1,3863.4,3335.3,0.14
4884,11,5,20,9,29,3109.9,3872.4,3328.7,0.03
4885,11,5,20,9,52,3206.7,4079.4,3371.4,-0.11
4886,11,5,20,10,18,3138.6,3924.9,3433.7,-0.31
4887,11,5,20,10,38,3175.3,3948.4,3442.1,-0.08
4888,11,5,20,11,58,3220.4,4034.9,3364.7,0.29
4889,11,5,20,12,1,1816.7,1170.9,2187.1,-0.02
4890,11,5,20,12,25,3221.1,4069.4,3451.1,-0.11
4891,11,5,20,12,48,3107.5,3860.4,3391.8,0.00
4892,11,5,20,13,46,3224.0,4046.4,3442.6,0.10
4893,11,5,20,14,9,3144.9,3897.4,3449.4,-0.01
4894,11,5,20,14,34,3128.3,3885.9,3519.0,-0.10
4895,11,5,20,15,18,3154.0,3929.4,3398.7,-0.36
4896,11,5,20,16,6,3222.4,3995.9,3438.8,NaN
4897,11,5,20,16,12,3181.9,3990.9,3424.1,0.08
4898,11,5,20,16,39,3217.3,4031.9,3376.0,0.01
4899,11,5,20,16,45,3196.1,4018.9,3289.4,-0.04
4900,11,5,20,16,50,3236.6,4065.4,3368.0,-0.11
4901,11,5,20,16,54,3215.9,4024.4,3317.8,0.11
4902,11,5,20,17,58,3242.1,4083.4,3355.6,0.12
4903,11,5,20,18,21,3173.6,3955.4,3274.0,0.00
4904,11,5,20,18,27,3118.5,3852.4,3405.0,0.16
4905,11,5,20,18,51,3128.2,3884.4,3401.4,-0.18
4906,11,5,20,19,10,3159.4,3961.9,3402.5,0.09
4907,11,5,20,19,20,3216.8,4049.9,3487.6,0.01
4908,11,5,20,19,41,3215.3,4047.4,3417.3,0.14
4909,11,5,20,20,23,3203.0,4010.4,3444.4,0.10
4910,11,5,20,20,26,3194.9,3989.4,3416.2,0.21
4911,11,5,20,20,34,3211.4,4038.4,3381.4,0.03
4912,11,5,20,21,54,3218.6,4039.9,3457.0,-0.43
4913,11,5,20,22,6,3226.6,4042.9,3421.3,-0.02
4914,11,5,20,22,19,3216.2,4031.4,3428.5,-0.21
4915,11,5,20,22,22,3194.9,3969.4,3338.5,0.58
4916,11,5,20,22,43,3208.8,4014.4,3402.2,0.31
4917,11,5,20,22,51,3065.4,3870.4,3299.2,0.08
4918,11,5,20,23,2,3214.4,4070.9,3461.2,0.05
4919,11,5,20,23,25,3205.6,4031.4,3400.6,0.07
4920,11,5,20,23,38,3195.9,4029.4,3455.7,-0.12
4921,11,5,20,23,51,3146.6,3864.9,3238.6,-0.13
4922,11,5,20,25,10,3188.4,4001.4,3377.2,-0.90
4923,11,5,20,27,38,3212.2,4033.4,3483.3,NaN
4924,11,5,20,27,56,3212.3,4014.9,3419.2,0.05
4925,11,5,20,28,16,3250.8,4092.9,3339.2,0.51
4926,11,5,20,28,50,3199.2,3999.4,3338.4,0.04
4927,11,5,20,28,56,3197.3,4003.4,3522.9,-0.04
4928,11,5,20,30,25,3157.2,3881.9,3603.5,0.12
4929,11,5,20,31,1,3103.5,3872.4,3317.9,0.21
4930,11,5,20,31,5,3222.3,4044.9,3376.7,0.15
4931,11,5,20,31,43,3191.5,3996.9,3350.8,-0.22
4932,11,5,20,32,46,3147.6,3888.4,3450.5,0.07
4933,11,5,20,33,12,3211.1,3899.4,3402.7,0.40
4934,11,5,20,33,18,3150.9,3914.4,3286.9,-0.37
4935,11,5,20,33,21,3137.0,3911.4,3377.0,-0.41
4936,11,5,20,33,26,3205.2,4041.4,3502.4,0.18
4937,11,5,20,34,8,3158.6,3958.4,3360.3,-0.14
4938,11,5,20,35,13,3234.1,4081.4,3297.8,0.50
4939,11,5,20,35,35,3122.3,3858.4,3330.4,NaN
4940,11,5,20,35,44,3128.2,3907.4,3370.4,-0.22
4941,11,5,20,36,41,3103.9,3845.4,3369.3,0.09
4942,11,5,20,36,52,3217.9,4075.9,3335.2,0.31
4943,11,5,20,37,10,3131.8,3899.9,3480.6,0.13
4944,11,5,20,37,34,3188.6,3989.4,3448.6,0.16
4945,11,5,20,38,18,3211.4,4019.4,3302.3,0.29
4946,11,5,20,39,20,3206.4,4054.4,3399.4,0.11
4947,11,5,20,39,41,3173.3,3963.9,3399.0,-0.01
4948,11,5,20,40,3,3105.3,3851.4,3395.6,0.12
4949,11,5,20,41,4,3211.2,4037.9,3442.8,-0.06
4950,11,5,20,41,17,3162.1,3916.9,3492.0,-0.01
4951,11,5,20,41,21,3185.8,4004.4,3354.5,0.28
4952,11,5,20,41,30,3227.7,4054.4,3432.2,-0.08
4953,11,5,20,41,55,3178.6,3981.9,3415.0,-0.38
4954,11,5,20,42,10,3130.0,3859.4,3289.2,-0.20
4955,11,5,20,42,49,3158.1,3916.9,3359.5,-0.19
4956,11,5,20,44,14,3247.9,4099.4,3283.2,0.24
4957,11,5,20,44,22,3226.2,4059.4,3349.7,0.23
4958,11,5,20,45,13,3211.9,4045.4,3474.3,0.21
4959,11,5,20,45,28,3204.1,4014.4,3413.4,0.07
4960,11,5,20,45,39,3207.9,4054.4,3335.1,-0.12
4961,11,5,20,45,50,3203.8,4072.4,3441.6,-0.25
4962,11,5,20,46,21,3157.3,3910.9,3288.6,0.10
4963,11,5,20,46,48,3112.0,3865.4,3488.7,0.08
4964,11,5,20,47,35,3215.7,4061.4,3453.5,0.19
4965,11,5,20,47,55,3219.3,4069.4,3380.5,0.01
4966,11,5,20,48,34,3132.8,3930.4,3400.0,-0.02
4967,11,5,20,48,50,3241.8,4089.4,3412.2,0.37
4968,11,5,20,48,56,3228.1,4060.9,3424.4,0.03
4969,11,5,20,49,50,3211.0,4037.4,3330.1,0.11
4970,11,5,20,50,15,3177.6,3985.9,3356.0,-0.07
4971,11,5,20,50,55,3149.5,3893.4,3344.1,-0.07
4972,11,5,20,50,59,3178.9,3959.9,3153.0,0.14
4973,11,5,20,51,33,3230.5,4068.4,3499.7,-0.31
4974,11,5,20,51,42,3176.6,3933.4,3466.1,-0.12
4975,11,5,20,53,54,3230.5,4105.4,3304.4,0.29
4976,11,5,20,54,19,3176.3,3966.9,3395.4,-0.32
4977,11,5,20,55,5,3209.2,4027.4,3355.0,0.24
4978,11,5,20,55,38,3104.6,3864.9,3337.6,-0.13
4979,11,5,20,55,44,3160.0,3945.9,3399.9,0.06
4980,11,5,20,55,55,3098.5,3878.4,3149.7,NaN
4981,11,5,20,56,1,3114.6,3861.4,3308.1,-0.49
4982,11,5,20,56,14,3138.9,3917.9,3446.0,-0.18
4983,11,5,20,56,21,3094.9,3862.9,3362.6,-0.14
4984,11,5,20,56,26,3171.3,3943.9,3385.0,-0.17
4985,11,5,20,56,50,3222.0,4074.4,3443.6,-0.02
4986,11,5,20,57,53,3144.4,3903.4,3444.6,-0.07
4987,11,5,20,58,1,3220.2,4059.4,3508.2,0.13
4988,11,5,20,58,37,3215.0,4048.4,3479.6,-0.15
4989,11,5,20,58,51,3205.8,4041.4,3396.5,-0.13
4990,11,5,20,59,1,3225.2,4045.4,3309.7,0.17
4991,11,5,20,59,41,3124.3,3894.9,3373.8,-1.00
4992,11,5,20,59,58,3084.7,3974.4,3417.5,0.00
4993,11,5,21,0,15,3244.1,4059.9,3328.8,-0.17
4994,11,5,21,0,23,3017.9,3905.9,3317.2,-0.60
4995,11,5,21,1,4,3173.9,3987.4,3398.6,-0.14
4996,11,5,21,1,10,3190.6,3969.4,3416.1,-0.47
4997,11,5,21,1,48,3140.6,3899.4,3449.2,-0.08
4998,11,5,21,2,10,3135.5,3923.9,3337.4,-0.07
4999,11,5,21,3,1,3217.4,4040.9,3353.7,-0.45
5000,11,5,21,3,36,3120.3,3903.4,3405.5,-0.21
5001,11,5,21,3,48,3123.8,3897.4,3346.9,-0.09
5002,11,5,21,3,57,3140.9,3910.9,3469.9,-0.03
5003,11,5,21,4,15,3167.1,3943.4,3470.6,-0.05
5004,11,5,21,5,20,3148.9,3904.9,3403.8,-0.06
5005,11,5,21,5,42,3202.5,4006.9,3330.4,-0.03
5006,11,5,21,6,57,3189.8,4001.4,3315.6,0.77
5007,11,5,21,6,59,3193.0,4023.4,3269.1,0.54
5008,11,5,21,7,59,3094.2,3848.9,3378.1,-0.24
5009,11,5,21,8,29,3125.5,3902.4,3403.5,0.02
5010,11,5,21,9,19,3156.1,3929.9,3400.6,0.09
5011,11,5,21,11,11,3196.3,4049.4,3337.5,-0.10
5012,11,5,21,11,40,3188.7,4018.4,3457.6,0.04
5013,11,5,21,11,56,3218.3,4041.4,3397.4,0.06
5014,11,5,21,12,4,3208.8,4039.9,3390.7,-0.12
5015,11,5,21,12,18,3228.3,4060.4,3450.0,-0.07
5016,11,5,21,12,54,3231.1,4102.4,3383.1,0.49
5017,11,5,21,14,6,3127.5,3870.4,3358.6,-0.08
5018,11,5,21,14,15,3177.6,3974.9,3372.2,0.05
5019,11,5,21,14,19,3184.0,3997.4,3223.4,0.06
5020,11,5,21,16,17,3113.0,3913.9,3304.9,0.02
5021,11,5,21,17,9,3241.4,4117.9,3454.4,-0.07
5022,11,5,21,18,1,3212.8,4038.4,3421.2,0.13
5023,11,5,21,18,37,3135.9,3886.4,3286.7,0.22
5024,11,5,21,18,39,3229.0,4056.4,3289.0,0.28
5025,11,5,21,18,42,3138.7,3875.4,3341.3,0.30
5026,11,5,21,18,49,3206.9,4028.4,3470.7,-0.10
5027,11,5,21,20,37,3204.6,4010.4,3422.2,-0.02
5028,11,5,21,22,4,3189.1,3896.4,3407.8,0.16
5029,11,5,21,22,10,3220.2,4065.4,3402.6,0.07
5030,11,5,21,22,18,3226.6,4068.4,3340.8,0.03
5031,11,5,21,22,40,3149.0,3902.9,3521.6,0.08
5032,11,5,21,24,42,3137.6,3895.9,3372.4,0.04
5033,11,5,21,25,10,3262.3,4053.9,3344.1,-0.23
5034,11,5,21,25,56,3176.6,3933.9,3365.3,-0.07
5035,11,5,21,26,4,3139.6,3900.4,3345.7,-0.39
5036,11,5,21,26,33,3103.5,3847.4,3413.0,-0.02
5037,11,5,21,26,35,3094.2,3853.9,3418.6,-0.02
5038,11,5,21,26,56,3168.1,3947.4,3371.4,-0.10
5039,11,5,21,28,1,3228.3,4051.4,3402.7,-0.52
5040,11,5,21,28,13,3189.9,3955.9,3395.3,-0.20
5041,11,5,21,29,1,3227.6,4053.4,3450.1,-0.12
5042,11,5,21,29,22,3129.1,3901.9,3403.5,0.02
5043,11,5,21,30,23,3216.6,4060.9,3311.2,0.08
5044,11,5,21,30,31,3198.3,4001.4,3458.7,-0.02
5045,11,5,21,30,38,3191.0,4026.4,3336.0,-0.03
5046,11,5,21,31,40,3198.5,4031.9,3383.2,0.00
5047,11,5,21,31,54,3218.1,4059.4,3477.8,0.09
5048,11,5,21,32,1,3086.8,3846.9,3368.1,-0.21
5049,11,5,21,32,36,3220.3,4083.9,3465.7,-0.12
5050,11,5,21,32,46,3189.9,3999.4,3216.4,0.43
5051,11,5,21,35,24,3220.6,4050.4,3355.6,0.17
5052,11,5,21,35,35,3198.3,4027.9,3452.1,0.10
5053,11,5,21,35,52,3247.7,3955.4,3272.7,0.11
5054,11,5,21,36,12,3202.6,4052.4,3362.6,-0.02
5055,11,5,21,36,32,3124.5,3874.9,3399.2,-0.17
5056,11,5,21,36,41,3225.9,4096.9,3268.9,0.58
5057,11,5,21,36,45,3226.4,4062.4,3393.3,0.22
5058,11,5,21,36,57,3129.8,3903.4,3360.3,-0.18
5059,11,5,21,37,7,3222.1,4033.4,3266.4,-0.02
5060,11,5,21,37,9,3230.1,4028.4,3358.8,-0.30
5061,11,5,21,38,9,3179.1,3983.4,3338.1,-0.23
5062,11,5,21,38,44,3124.6,3891.9,3370.2,-0.45
5063,11,5,21,39,26,2290.4,3555.9,3805.2,-0.44
5064,11,5,21,40,18,3179.6,3895.9,3439.0,0.11
5065,11,5,21,40,23,3147.7,3916.4,3381.2,-0.17
5066,11,5,21,40,30,3131.2,3882.9,3282.5,0.36
5067,11,5,21,42,3,3125.9,3882.4,3355.4,-0.04
5068,11,5,21,43,30,3207.8,4028.9,3266.5,0.33
5069,11,5,21,44,50,3205.5,4030.4,3413.4,-0.16
5070,11,5,21,45,24,3218.5,4056.4,3405.0,-0.21
5071,11,5,21,47,24,3216.9,4054.4,3450.0,-0.07
5072,11,5,21,49,1,3109.1,3841.4,3597.6,-0.12
5073,11,5,21,50,54,3157.9,3942.9,3376.7,0.08
5074,11,5,21,50,57,3165.0,3942.4,3521.4,0.04
5075,11,5,21,51,36,3218.9,4056.9,3372.2,0.06
5076,11,5,21,51,48,3136.8,3904.4,3464.8,0.08
5077,11,5,21,52,10,3172.8,3909.4,3427.8,0.21
5078,11,5,21,52,22,3111.1,3878.4,3367.6,0.00
5079,11,5,21,52,30,3212.6,4048.9,3269.9,0.31
5080,11,5,21,52,35,3209.9,4031.9,3464.1,0.22
5081,11,5,21,52,50,3218.7,4043.4,3413.5,0.14
5082,11,5,21,53,41,3104.7,3844.4,3244.6,0.21
5083,11,5,21,55,7,3189.2,3994.4,3413.5,0.12
5084,11,5,21,55,11,3208.2,3985.9,3286.8,0.43
5085,11,5,21,55,37,3228.4,4116.9,3452.1,0.16
5086,11,5,21,58,18,3203.0,4006.4,3492.8,0.12
5087,11,5,21,58,27,3190.2,4008.4,3430.9,0.26
5088,11,5,21,58,30,3223.2,4064.9,3457.3,0.43
5089,11,5,21,58,47,3190.7,3989.9,3434.7,0.03
5090,11,5,21,59,28,3242.4,4124.4,3401.5,-0.29
5091,11,5,21,59,30,3242.5,4124.4,3349.8,-0.45
5092,11,5,22,0,29,3120.5,3868.9,3302.1,-0.20
5093,11,5,22,1,17,3231.9,4086.4,3420.7,0.46
5094,11,5,22,4,17,3242.7,4103.4,3345.5,0.33
5095,11,5,22,4,21,3186.0,3982.4,3382.0,0.17
5096,11,5,22,5,44,3163.3,3925.9,3357.4,0.26
5097,11,5,22,7,14,3139.7,3884.4,3377.9,0.09
5098,11,5,22,7,18,3186.1,3982.4,3412.2,0.18
5099,11,5,22,8,15,3239.8,4074.4,3351.4,0.12
5100,11,5,22,9,17,3227.9,4063.4,3397.1,0.20
5101,11,5,22,9,31,3281.8,4050.4,3376.4,0.19
5102,11,5,22,9,39,3130.1,3868.4,3326.1,-0.31
5103,11,5,22,9,47,3207.2,4053.9,3416.7,0.07
5104,11,5,22,10,14,3181.5,3941.4,3386.3,0.00
5105,11,5,22,13,8,3122.9,3897.9,3279.2,0.39
5106,11,5,22,13,17,3111.1,3890.4,3365.8,0.38
5107,11,5,22,13,25,3091.9,3851.4,3426.0,0.14
5108,11,5,22,14,17,3081.0,3826.4,3408.9,0.25
5109,11,5,22,14,39,3065.9,3818.4,3320.6,0.15
5110,11,5,22,15,30,3184.6,3973.9,3447.9,0.29
5111,11,5,22,15,34,3257.6,4078.9,3300.9,0.57
5112,11,5,22,15,49,3225.3,4062.4,3207.4,0.16
5113,11,5,22,18,48,3221.3,4088.4,3309.2,-0.04
5114,11,5,22,19,27,3213.0,4048.9,3458.2,0.07
5115,11,5,22,19,30,3236.4,4109.9,3297.9,0.11
5116,11,5,22,19,49,3210.0,4012.4,3366.5,0.09
5117,11,5,22,19,53,3205.2,4038.9,3302.6,0.60
5118,11,5,22,19,56,3225.8,4000.4,3294.3,0.58
5119,11,5,22,22,20,3223.1,4086.9,3402.3,0.25
5120,11,5,22,22,58,3235.9,4074.9,3507.5,-0.34
5121,11,5,22,24,9,3150.3,3941.4,3332.6,0.28
5122,11,5,22,25,10,3169.5,3939.4,3434.9,0.22
5123,11,5,22,25,13,3025.4,2384.9,2273.2,-0.31
5124,11,5,22,25,46,3176.3,3964.9,3350.5,0.45
5125,11,5,22,26,13,3146.5,3915.4,3428.7,-0.15
5126,11,5,22,26,37,3218.8,4052.4,3428.8,0.07
5127,11,5,22,27,2,3217.9,4073.4,3519.4,-0.36
5128,11,5,22,28,19,3155.6,3930.9,3377.0,0.05
5129,11,5,22,29,4,3174.3,3981.4,3549.3,0.13
5130,11,5,22,29,29,3215.2,3942.9,3309.9,0.03
5131,11,5,22,29,41,2945.9,3665.4,3540.8,0.00
5132,11,5,22,29,52,3219.0,4052.4,3411.8,0.07
5133,11,5,22,30,28,3219.5,4080.4,3457.8,-0.21
5134,11,5,22,31,32,3221.9,4059.4,3442.9,0.25
5135,11,5,22,31,39,3211.2,4041.4,3419.9,0.19
5136,11,5,22,31,43,3208.7,4053.4,3392.9,0.13
5137,11,5,22,33,17,3204.2,4042.4,3400.2,0.09
5138,11,5,22,34,40,3224.9,4058.4,3364.7,0.07
5139,11,5,22,34,45,3138.3,3887.4,3386.4,0.04
5140,11,5,22,36,54,3239.8,4113.4,3285.3,0.22
5141,11,5,22,37,0,3118.1,3878.4,3373.8,0.18
5142,11,5,22,37,4,3115.2,3871.4,3395.8,-0.01
5143,11,5,22,37,21,3152.3,3908.4,3398.3,0.10
5144,11,5,22,38,5,3154.4,3951.4,3386.1,0.02
5145,11,5,22,38,32,3247.3,4115.4,3467.3,-0.35
5146,11,5,22,41,46,3235.3,4104.4,3335.5,0.50
5147,11,5,22,42,16,3123.6,3887.9,3369.9,0.18
5148,11,5,22,42,31,3019.7,3859.4,3431.3,0.17
5149,11,5,22,43,10,3157.2,3900.4,3350.8,0.00
5150,11,5,22,46,38,3124.4,3891.4,3373.1,0.20
5151,11,5,22,48,15,3171.8,3978.9,3353.8,0.32
5152,11,5,22,48,17,3180.0,3983.4,3400.7,0.33
5153,11,5,22,49,32,3207.5,4021.4,3460.7,-0.03
5154,11,5,22,49,52,3177.7,3983.4,3381.0,0.36
5155,11,5,22,49,54,3212.6,4041.4,3397.1,0.20
5156,11,5,22,50,54,3219.9,4060.4,3322.8,0.17
5157,11,5,22,51,0,3214.1,4045.4,3365.7,0.19
5158,11,5,22,51,11,3259.8,4098.4,3407.0,0.61
5159,11,5,22,51,18,3223.5,4047.9,3389.9,0.39
5160,11,5,22,55,36,3193.2,3994.9,3613.6,0.33
5161,11,5,22,55,45,3186.9,3974.4,3455.7,0.29
5162,11,5,22,57,3,3270.0,4113.4,3391.0,0.13
5163,11,5,22,57,6,3236.4,4101.4,3349.4,0.27
5164,11,5,23,0,55,3229.9,4085.9,3392.5,0.15
5165,11,5,23,2,9,3196.5,3998.4,3366.2,0.49
5166,11,5,23,2,11,3166.7,3939.4,3360.9,0.27
5167,11,5,23,2,44,3211.0,4059.4,3377.6,0.14
5168,11,5,23,3,12,3001.6,3754.4,4009.9,0.03
5169,11,5,23,4,35,3195.5,3904.4,3273.6,0.22
5170,11,5,23,4,51,3021.3,3867.4,3458.2,0.18
5171,11,5,23,4,54,3200.9,4039.9,3545.6,0.01
5172,11,5,23,6,17,3240.4,4112.9,3333.0,0.32
5173,11,5,23,6,59,3219.5,4060.4,3380.4,0.13
5174,11,5,23,7,45,3211.1,4078.9,3463.6,-0.20
5175,11,5,23,8,43,3216.6,4079.4,3382.9,-0.05
5176,11,5,23,10,3,3217.6,4068.9,3508.0,0.11
5177,11,5,23,10,14,3215.6,4070.4,3432.0,0.11
5178,11,5,23,11,4,3225.1,4073.4,3395.5,0.19
5179,11,5,23,11,14,3217.3,4035.4,3348.8,0.00
5180,11,5,23,11,55,3200.7,4024.4,3228.9,-0.05
5181,11,5,23,12,31,3202.4,4020.9,3472.0,0.08
5182,11,5,23,12,58,3226.5,4073.4,3307.8,0.06
5183,11,5,23,13,12,3138.9,3901.4,3310.4,-0.03
5184,11,5,23,13,22,3232.6,4081.4,3405.4,0.05
5185,11,5,23,13,51,3219.0,4052.4,3323.2,0.21
5186,11,5,23,13,55,3194.3,4013.9,3496.9,0.15
5187,11,5,23,14,1,3209.0,4033.9,3414.0,0.45
5188,11,5,23,14,30,3208.2,4045.9,3268.0,0.12
5189,11,5,23,14,43,3225.9,4039.9,3401.4,-0.36
5190,11,5,23,15,18,3211.9,4064.4,3387.0,0.14
5191,11,5,23,15,44,3216.8,4040.4,3384.0,0.22
5192,11,5,23,16,44,3227.5,4077.9,3437.9,0.23
5193,11,5,23,17,3,3256.2,4110.4,3471.5,0.35
5194,11,5,23,17,15,3246.3,4105.4,3381.3,0.24
5195,11,5,23,17,48,3181.2,3955.4,3345.1,0.05
5196,11,5,23,19,48,3131.4,3888.9,3448.6,0.18
5197,11,5,23,19,59,3118.2,3879.4,3349.1,0.13
5198,11,5,23,20,2,3221.6,4092.4,3437.3,-0.06
5199,11,5,23,20,19,3217.7,4055.4,3360.2,0.13
5200,11,5,23,22,36,3244.6,4114.4,3408.5,0.21
5201,11,5,23,22,41,3213.8,4052.4,3372.6,0.16
5202,11,5,23,24,23,3224.8,4075.9,3436.6,0.06
5203,11,5,23,24,28,3238.3,4117.9,3449.0,0.50
5204,11,5,23,25,49,3169.6,3932.4,3364.2,0.05
5205,11,5,23,26,18,3231.5,4060.9,3466.0,0.16
5206,11,5,23,26,52,3224.4,4028.4,3481.0,0.16
5207,11,5,23,27,11,3223.8,4067.9,3437.3,0.21
5208,11,5,23,27,29,3221.6,4100.4,3353.5,0.51
5209,11,5,23,30,6,3180.2,3967.9,3405.4,0.05
5210,11,5,23,32,35,3199.4,4050.4,3306.3,-0.03
5211,11,5,23,33,10,2772.1,3873.9,3355.7,0.03
5212,11,5,23,35,1,3175.6,3960.9,3428.2,0.11
5213,11,5,23,35,6,3213.1,3955.4,3436.9,0.21
5214,11,5,23,35,13,3174.3,3957.9,3208.0,0.10
5215,11,5,23,35,19,3176.4,3995.4,3446.1,0.08
5216,11,5,23,35,27,3188.7,4022.4,3314.1,0.47
5217,11,5,23,35,31,3224.8,3957.9,3418.3,0.48
5218,11,5,23,35,35,3198.1,3941.4,3443.2,0.20
5219,11,5,23,36,39,3259.3,4035.4,3331.0,0.36
5220,11,5,23,37,41,3213.8,4069.9,3352.5,0.10
5221,11,5,23,38,11,3218.5,4039.9,3335.8,-0.20
5222,11,5,23,38,16,3009.6,3860.4,3404.6,0.02
5223,11,5,23,39,35,3210.1,4022.4,3366.0,0.11
5224,11,5,23,42,30,3225.9,4077.4,3556.8,0.14
5225,11,5,23,49,10,3219.3,4047.4,3459.3,0.06
5226,11,5,23,49,21,3242.1,4111.4,3255.1,0.33
5227,11,5,23,50,18,3125.2,3892.4,3431.5,0.09
5228,11,5,23,52,23,3177.1,3960.9,3245.6,0.23
5229,11,5,23,53,5,3166.2,3898.4,3514.3,0.27
5230,11,5,23,53,8,3174.5,3955.4,3358.6,0.16
5231,11,5,23,53,28,3242.3,4090.4,3448.2,-0.05
5232,11,5,23,55,22,3202.9,4046.4,3444.1,0.07
5233,11,5,23,55,48,3335.9,4109.4,3381.3,0.03
5234,11,5,23,56,32,3155.7,3936.9,3444.6,-0.10
5235,11,5,23,56,57,3207.3,4029.4,3417.8,-0.02
5236,11,5,23,57,45,3231.4,4082.4,3177.5,-0.11
5237,11,5,23,57,55,3188.8,4016.4,3484.6,-0.04
5238,11,5,23,58,20,3239.4,4062.9,3336.6,0.13
5239,11,5,23,59,42,3171.4,3938.9,3401.4,-0.84
5240,11,6,0,0,25,3238.8,4107.4,3360.9,-0.10
5241,11,6,0,0,47,3227.4,4098.4,3307.8,-0.19
5242,11,6,0,2,2,3174.3,4001.9,3411.5,0.01
5243,11,6,0,2,20,3188.1,4071.9,3390.2,-0.09
5244,11,6,0,3,34,3246.3,4117.4,3370.4,0.32
5245,11,6,0,7,28,3208.9,4061.9,3487.2,-0.10
5246,11,6,0,9,49,3221.4,4074.4,3443.8,-0.09
5247,11,6,0,10,21,3108.9,3890.4,3431.4,-0.13
5248,11,6,0,10,36,3219.3,4073.4,3519.8,-0.05
5249,11,6,0,12,53,3131.2,4196.4,3333.4,-0.12
5250,11,6,0,13,9,3270.9,4030.4,3432.6,-0.02
5251,11,6,0,13,24,3240.8,4091.4,3366.4,-0.36
5252,11,6,0,15,20,3147.8,4199.4,3460.6,-0.01
5253,11,6,0,15,27,3220.7,4052.4,3441.7,0.17
5254,11,6,0,15,34,3203.4,4039.4,3410.4,0.12
5255,11,6,0,15,40,3245.5,4018.4,3481.4,-0.28
5256,11,6,0,15,45,3246.9,3969.4,3399.0,0.02
5257,11,6,0,15,49,3203.9,4014.9,3416.2,-0.01
5258,11,6,0,15,54,3164.6,4188.4,3433.3,-0.30
5259,11,6,0,16,10,3187.6,3976.4,3359.7,-0.19
5260,11,6,0,16,21,3057.6,3756.9,3387.4,-0.26
5261,11,6,0,16,43,3058.9,3778.4,3404.4,-0.03
5262,11,6,0,16,47,3052.7,3764.4,3423.8,-0.26
5263,11,6,0,17,4,3130.3,3882.4,3313.8,-0.36
5264,11,6,0,19,27,3227.1,4088.4,3360.3,-0.13
5265,11,6,0,22,26,3193.7,4003.9,3294.6,0.31
5266,11,6,0,23,12,3259.0,4066.9,3289.7,0.43
5267,11,6,0,23,38,3215.1,4069.4,3397.0,-0.33
5268,11,6,0,23,49,3203.0,4023.4,3361.6,-0.19
5269,11,6,0,25,35,3226.1,4076.4,3457.2,-0.21
5270,11,6,0,26,27,3135.6,3968.9,3446.6,-0.17
5271,11,6,0,26,55,3254.8,4076.4,3412.7,-0.20
5272,11,6,0,27,17,3156.5,3931.4,3375.8,-0.25
5273,11,6,0,27,35,3250.8,4112.9,3362.1,0.01
5274,11,6,0,29,4,3221.2,4074.4,3285.6,-0.01
5275,11,6,0,30,12,3382.5,4991.9,3324.8,-0.21
5276,11,6,0,31,9,3716.5,3955.4,3361.0,-0.31
5277,11,6,0,31,51,3238.5,4124.9,3321.9,-0.03
5278,11,6,0,33,19,3158.4,4205.4,3374.0,-0.26
5279,11,6,0,36,18,3226.6,4065.9,3358.0,-0.32
5280,11,6,0,36,22,3234.3,4071.4,3424.9,-0.23
5281,11,6,0,37,27,3239.9,4125.4,3349.5,0.38
5282,11,6,0,37,31,3218.0,4012.4,3375.8,-0.08
5283,11,6,0,37,34,3198.9,4022.9,3376.3,-0.19
5284,11,6,0,37,41,3236.5,4064.9,3334.6,-0.18
5285,11,6,0,37,48,3193.6,4011.4,3454.9,-0.29
5286,11,6,0,37,50,3199.9,4024.9,3361.2,-0.21
5287,11,6,0,37,53,3231.7,4067.4,3408.2,-0.21
5288,11,6,0,38,43,3209.4,4056.9,3396.6,-0.09
5289,11,6,0,38,48,3204.7,4032.9,3385.0,-0.11
5290,11,6,0,39,34,3128.5,3894.4,3348.9,-0.25
5291,11,6,0,39,37,3137.1,3881.9,3315.8,-0.05
5292,11,6,0,40,30,3133.0,3891.4,3474.2,-0.34
5293,11,6,0,42,0,3226.9,4070.9,3413.5,-0.14
5294,11,6,0,42,52,3285.0,4029.4,3315.3,0.60
5295,11,6,0,43,11,3216.4,4081.4,3426.9,-0.14
5296,11,6,0,43,17,3171.8,3966.4,3429.2,0.03
5297,11,6,0,44,14,3239.8,4119.4,3459.1,-0.51
5298,11,6,0,45,3,3245.3,3940.9,3322.4,0.20
5299,11,6,0,45,7,3241.4,3954.9,3300.5,0.34
5300,11,6,0,45,32,3218.2,4067.4,3452.1,-0.10
5301,11,6,0,47,4,3229.0,4080.9,3513.8,-0.06
5302,11,6,0,47,11,3231.4,4087.4,3353.3,-0.10
5303,11,6,0,47,32,3253.3,4126.9,3447.8,0.04
5304,11,6,0,48,39,3221.8,4101.9,3454.7,-0.26
5305,11,6,0,50,38,3249.5,4117.4,3330.7,0.16
5306,11,6,0,51,42,3224.8,4048.4,3456.0,0.05
5307,11,6,0,52,16,3244.1,4127.4,3354.8,0.33
5308,11,6,0,53,49,3260.6,4092.4,3398.2,-0.17
5309,11,6,0,54,24,3233.3,4074.4,3488.7,-0.01
5310,11,6,0,55,29,3089.3,3844.4,3405.7,0.07
5311,11,6,0,55,32,3089.7,3822.4,3367.0,0.14
5312,11,6,0,55,41,3077.9,3820.4,3386.8,0.20
