Seg2File,Mw
24367.16.10.30.04.07.00.dat,0.05
24368.16.10.30.04.08.00.dat,-0.04
24426.16.10.30.05.06.00.dat,0.17
24532.16.10.30.06.52.00.dat,0.29
24533.16.10.30.06.53.00.dat,-0.53
24534.16.10.30.06.54.00.dat,-0.28
24540.16.10.30.07.00.00.dat,-0.46
24542.16.10.30.07.02.00.dat,-0.42
24543.16.10.30.07.03.00.dat,-0.09
24552.16.10.30.07.12.00.dat,-0.02
24566.16.10.30.07.26.00.dat,-0.28
24594.16.10.30.07.54.00.dat,-0.5
24598.16.10.30.07.58.00.dat,-0.01
24599.16.10.30.07.59.00.dat,0.01
24613.16.10.30.08.13.00.dat,-0.04
24638.16.10.30.08.38.00.dat,-0.69
24640.16.10.30.08.40.00.dat,0.31
24641.16.10.30.08.41.00.dat,0.27
24696.16.10.30.09.36.00.dat,-0.81
24698.16.10.30.09.38.00.dat,-0.42
24700.16.10.30.09.40.00.dat,0.17
24707.16.10.30.09.47.00.dat,-0.24
24727.16.10.30.10.07.00.dat,-0.18
24802.16.10.30.11.22.00.dat,-0.15
24803.16.10.30.11.23.00.dat,-0.17
24805.16.10.30.11.25.00.dat,0.24
24889.16.10.30.12.49.00.dat,-0.54
24920.16.10.30.13.20.00.dat,0.32
24947.16.10.30.13.47.00.dat,-0.31
25008.16.10.30.14.48.00.dat,0.03
25009.16.10.30.14.49.00.dat,0.29
25016.16.10.30.14.56.00.dat,0.11
25043.16.10.30.15.23.00.dat,-0.1
25099.16.10.30.16.19.00.dat,0
25101.16.10.30.16.21.00.dat,-0.2
25154.16.10.30.17.14.00.dat,0.03
25155.16.10.30.17.15.00.dat,-0.02
25236.16.10.30.18.36.00.dat,0.02
25237.16.10.30.18.37.00.dat,-0.38
25273.16.10.30.19.13.00.dat,-0.31
25330.16.10.30.20.10.00.dat,-0.03
25385.16.10.30.21.05.00.dat,-0.04
25386.16.10.30.21.06.00.dat,-0.06
25458.16.10.30.22.18.00.dat,0.07
25459.16.10.30.22.19.00.dat,0.31
25511.16.10.30.23.11.00.dat,-0.24
25515.16.10.30.23.15.00.dat,-0.11
25577.16.10.31.00.17.00.dat,-0.35
25647.16.10.31.01.27.00.dat,-0.03
25649.16.10.31.01.29.00.dat,-0.2
25650.16.10.31.01.30.00.dat,-0.42
25652.16.10.31.01.32.00.dat,-0.47
25660.16.10.31.01.40.00.dat,-0.32
25664.16.10.31.01.44.00.dat,-0.17
25668.16.10.31.01.48.00.dat,-0.31
25677.16.10.31.01.57.00.dat,-0.04
25680.16.10.31.02.00.00.dat,0
25688.16.10.31.02.08.00.dat,-0.39
25694.16.10.31.02.14.00.dat,-0.33
25708.16.10.31.02.28.00.dat,-0.29
25709.16.10.31.02.29.00.dat,0.08
25712.16.10.31.02.32.00.dat,-0.22
25717.16.10.31.02.37.00.dat,-0.05
25720.16.10.31.02.40.00.dat,-0.12
25722.16.10.31.02.42.00.dat,-0.43
25723.16.10.31.02.43.00.dat,-0.55
25731.16.10.31.02.51.00.dat,-0.63
25734.16.10.31.02.54.00.dat,0.06
25735.16.10.31.02.55.00.dat,-0.09
25755.16.10.31.03.15.00.dat,-0.41
25769.16.10.31.03.29.00.dat,0.04
25835.16.10.31.04.35.00.dat,-0.49
25933.16.10.31.06.13.00.dat,-0.04
25934.16.10.31.06.14.00.dat,0.02
25938.16.10.31.06.18.00.dat,-0.09
25941.16.10.31.06.21.00.dat,-0.15
25995.16.10.31.07.15.00.dat,-0.37
25997.16.10.31.07.17.00.dat,0
25998.16.10.31.07.18.00.dat,-0.38
26084.16.10.31.08.44.00.dat,0.06
26127.16.10.31.09.27.00.dat,-0.29
26207.16.10.31.10.47.00.dat,-0.45
26209.16.10.31.10.49.00.dat,-0.46
26374.16.10.31.13.34.00.dat,-0.36
26383.16.10.31.13.43.00.dat,-0.26
26384.16.10.31.13.44.00.dat,-0.26
26385.16.10.31.13.45.00.dat,-0.37
26545.16.10.31.16.25.00.dat,-0.52
26556.16.10.31.16.36.00.dat,-0.46
26685.16.10.31.18.45.00.dat,-0.64
26707.16.10.31.19.07.00.dat,0.03
26712.16.10.31.19.12.00.dat,-0.4
26728.16.10.31.19.28.00.dat,-0.55
