X,Y,PP Time (ms),PP Time Error  (ms),Depth (m),Depth Error (m),Month,Day,Hour ,Minute
484582.38,6022974.38,1979.150372,19.1639621,3444.784001,49.46675561,10,28,17,24
484493.63,6022955.4,1968.025419,23.8343263,3421.014159,53.89524127,10,28,17,31
484601.8,6023002.86,1964.008982,27.98929982,3412.228015,63.10948527,10,28,17,44
484482.54,6022961.73,1990.442156,13.05532734,3470.890406,39.57319362,10,28,18,4
484679.45,6023167.39,1924.005985,47.46056788,3318.761198,109.5785272,10,28,18,16
484665.59,6023132.59,1987.368011,9.588066133,3463.092879,27.06705629,10,28,18,19
484587.93,6022968.05,1973.309425,19.9498178,3432.500694,46.76568888,10,28,18,26
484476.99,6022942.74,1972.945408,22.98452395,3431.665077,55.45335888,10,28,19,7
484576.84,6022942.74,1935.895946,54.43098295,3348.458482,122.2078482,10,28,19,22
484665.59,6023145.24,1989.940293,15.2794859,3469.915908,45.88142493,10,28,19,36
484510.27,6022949.07,1960.868784,34.64441485,3405.449192,80.39882724,10,28,19,42
484501.95,6022964.89,1975.887102,18.88836658,3437.89129,46.00554913,10,28,20,2
484604.57,6023012.35,1983.64167,14.09759966,3454.272247,38.12078392,10,28,20,4
484612.89,6022990.2,1960.87468,32.42706176,3405.462207,73.9369852,10,28,20,33
484488.09,6022936.41,1944.769256,37.4095725,3369.553501,81.66933178,10,28,20,37
484479.77,6022990.2,1991.172459,12.08416535,3472.772626,36.9075176,10,28,20,53
484615.66,6022974.38,1976.234624,17.81106212,3438.614041,43.11525546,10,28,21,1
484679.45,6023167.39,1991.368701,8.455623875,3473.386711,25.46686007,10,28,21,45
484665.59,6023113.6,1999.668098,13.12077353,3498.361124,39.26147854,10,28,21,45
484654.49,6023183.21,2027.192341,23.88278056,3581.419696,65.69479186,10,28,21,45
484671.13,6023113.6,2010.3513,17.84576861,3530.514784,53.94670334,10,28,21,46
484587.93,6022999.7,1986.24449,14.03050684,3460.210529,40.01952998,10,28,22,6
484482.54,6023025.01,1995.836498,12.81773648,3486.828119,38.79226964,10,28,22,20
484499.18,6022955.4,1981.550112,15.6799964,3449.902136,41.04660654,10,28,22,21
484490.86,6023002.86,1983.1333,15.29645264,3453.199784,41.42620437,10,28,22,48
484576.84,6022974.38,2014.918508,23.64913289,3543.803434,67.74214746,10,28,23,16
484493.63,6022917.43,1992.633054,15.7471867,3477.320911,47.47836546,10,28,23,55
484587.93,6022980.71,1991.238621,10.57721231,3472.982633,32.19777011,10,29,0,8
484604.57,6022968.05,1973.245448,20.35485792,3432.361701,47.97207089,10,29,0,33
484490.86,6022939.58,1929.398732,52.91707456,3332.079237,119.4379826,10,29,0,54
484476.99,6022923.76,2016.244791,26.00829656,3548.051604,73.97469084,10,29,0,54
484643.4,6023151.57,1992.404742,16.0894011,3476.607375,48.52333868,10,29,0,56
484582.38,6022999.7,1954.494052,44.53453604,3391.716436,104.7633656,10,29,1,9
484479.77,6022964.89,1998.827963,13.78302853,3495.902562,41.17735329,10,29,2,20
484476.99,6022961.73,1994.911336,13.47616751,3484.286265,40.53397603,10,29,3,11
484493.63,6022955.4,1980.146231,16.85226602,3446.901753,43.38026715,10,29,3,32
484504.73,6022949.07,1990.878294,9.438388444,3471.845704,28.52518151,10,29,3,50
484668.36,6023129.42,2016.820397,15.21157825,3549.832061,44.45787987,10,29,3,58
484576.84,6022955.4,1905.955886,55.54012984,3279.830404,126.9985597,10,29,3,59
484648.95,6023113.6,1970.590131,30.5093018,3426.410001,76.51182428,10,29,3,59
484593.48,6022993.37,1989.714916,8.403918473,3469.440488,24.20097611,10,29,4,20
